canonical_entity,market_group,region,sub_region,channel_level,salesperson_alias,salesperson_raw,customer_code,customer_name,has_customer,needs_code_fill,dim_matches,matched_customer_code,matched_customer_name,matched_market_group,matched_region,matched_sub_region,fill_method,fill_status,customer_code_filled
Export,Export,Export - Direct business,,,,,,Munique; Thailand,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Benelux,NL Other + BL,,Gabrielle,A. Noran BE,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Benelux,NL Other + BL,,Gabrielle,A. Noran NL,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Benelux,NL Other + BL,,Gabrielle,A. Noran NL Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Benelux,NL Other + BL,,Gabrielle,G. van Eykern BE,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Benelux,NL Other + BL,,Gabrielle,G. van Eykern BE Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Benelux,NL Other + BL,,Gabrielle,G. van Eykern NL,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Benelux,NL Other + BL,,Gabrielle,G. van Eykern NL Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Benelux,NL Central,,Marjelein,M. Mijnheer NL,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Benelux,NL Central,,Marjelein,M. Mijnheer NL Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,France,France South,,France,G. Russo,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,France,France South,,France,Y. Januario FRA,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,France,France South,,France,Y. Januario Neukd FRA,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,France,France South,,France,Y. Januario,,,0,True,,,,,,,dim_customer_exact_name,no_match,
