market_group,region,customer_code,budget_native,budget_eur_compare,actual_native,actual_eur_compare,actual_rows,has_budget,has_actual,match_status,actual_cutoff_date
Core Markets,Benelux,23111,4677.880900000001,4677.880900000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23112,450.0,450.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23115,750.0,750.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23116,1500.0,1500.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23117,350.0,350.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23118,1000.0,1000.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23119,1000.0,1000.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23120,2000.0,2000.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23121,1500.0,1500.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,23122,1500.0,1500.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24000,5272.945020000001,5272.945020000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24002,2186.50541,2186.50541,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24003,50.0,50.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24007,2003.6285,2003.6285,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24009,4601.3349100000005,4601.3349100000005,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24013,708.8814200000002,708.8814200000002,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24014,1583.2287100000003,1583.2287100000003,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24016,0.0,0.0,0.0,,0,0,0,actual_only,2026-03-25
Core Markets,Benelux,24017,648.58371,648.58371,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24022,1188.78498,1188.78498,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24025,0.0,0.0,0.0,,0,0,0,actual_only,2026-03-25
Core Markets,Benelux,24027,4815.234330000001,4815.234330000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24028,1009.56319,1009.56319,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24029,367.79538,367.79538,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24031,982.8763200000002,982.8763200000002,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24032,755.7549100000001,755.7549100000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24033,1029.48017,1029.48017,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,24034,6534.413600000001,6534.413600000001,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Benelux,26004,0.0,0.0,964.4100000000001,964.4100000000001,16,0,1,actual_only,2026-03-25
Core Markets,Benelux,26015,0.0,0.0,2103.2000000000003,2103.2,22,0,1,actual_only,2026-03-25
Core Markets,Benelux,26016,0.0,0.0,801.4399999999999,801.4399999999999,9,0,1,actual_only,2026-03-25
Core Markets,Benelux,36039,0.0,0.0,0.0,0.0,6,0,0,actual_only,2026-03-25
Core Markets,France,-25,0.0,0.0,0.0,,0,0,0,actual_only,2026-03-25
Core Markets,France,-26,9000.0,9000.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,France,23003,0.0,0.0,335.21999999999997,335.22,10,0,1,actual_only,2026-03-25
Core Markets,France,23005,0.0,0.0,2135.32,2135.3199999999997,34,0,1,actual_only,2026-03-25
Core Markets,France,23006,0.0,0.0,1411.1499999999999,1411.15,14,0,1,actual_only,2026-03-25
Core Markets,France,23011,0.0,0.0,3330.4,3330.4000000000015,40,0,1,actual_only,2026-03-25
Core Markets,France,23020,0.0,0.0,1087.05,1087.05,17,0,1,actual_only,2026-03-25
Core Markets,France,23029,0.0,0.0,1659.54,1659.5400000000002,33,0,1,actual_only,2026-03-25
Core Markets,France,23031,0.0,0.0,1162.72,1162.7199999999998,12,0,1,actual_only,2026-03-25
Core Markets,France,23035,0.0,0.0,3597.14,3597.14,61,0,1,actual_only,2026-03-25
Core Markets,France,23049,0.0,0.0,537.54,537.54,6,0,1,actual_only,2026-03-25
Core Markets,France,23056,0.0,0.0,-220.68,-220.68,1,0,1,actual_only,2026-03-25
Core Markets,France,23058,0.0,0.0,3144.58,3144.5800000000004,35,0,1,actual_only,2026-03-25
Core Markets,France,23061,0.0,0.0,3263.09,3263.0899999999992,29,0,1,actual_only,2026-03-25
Core Markets,France,23063,0.0,0.0,511.03999999999996,511.03999999999996,6,0,1,actual_only,2026-03-25
Core Markets,France,23064,0.0,0.0,4284.87,4284.87,43,0,1,actual_only,2026-03-25
