canonical_entity,market_group,region,sub_region,channel_level,salesperson_alias,salesperson_raw,customer_code,customer_name,has_customer
GmbH,Core Markets,Germany,,,Interco,Solveig Loresco Neukd,,,0
GmbH,Core Markets,Germany,North,,Kerstin,K. Brunbauer,,,0
GmbH,Core Markets,Germany,North,,Kerstin,K. Brunbauer Neukd,,,0
GmbH,Core Markets,Germany,NRW - Marina,,Marina,M. Pfauch,,,0
GmbH,Core Markets,Germany,NRW - Marina,,Marina,M. Pfauch Neukd,,,0
GmbH,Core Markets,Germany,,,Melanie,M. Meiritz Neukd,,,0
GmbH,Core Markets,Germany,,,Nora,J. Schottka,,,0
GmbH,Core Markets,Germany,,,Nora,J. Schottka Neukd,,,0
GmbH,Core Markets,Germany,Retail,,Retail,KaDeWe Endverbr.,,,0
GmbH,Core Markets,Germany,Retail,,Retail,Rainer Anskinewitsch,,,0
GmbH,Core Markets,Germany,Retail,,Retail,Steve Byrom-Chadd,,,0
GmbH,Core Markets,Germany,South West,,Sibylle,S. Wöhrle,,,0
GmbH,Core Markets,Germany,South West,,Sibylle,S. Wöhrle Neukd,,,0
GmbH,Core Markets,Germany,NRW - Ulrike,,Ulrike,U. Bensmann,,,0
GmbH,Core Markets,Germany,NRW - Ulrike,,Ulrike,U. Bensmann Neukd,,,0
GmbH,Core Markets,Interco,,Interco,Export,Export,,,0
GmbH,Core Markets,Interco,,Interco,Interco,Ch. Rose,,,0
GmbH,Core Markets,Interco,,Interco,Interco,Ch. Rose Neukd,,,0
GmbH,Core Markets,Interco,,Interco,Interco,G. Monopoli Neukd,,,0
GmbH,Core Markets,Interco,,Interco,Interco,Interco,,,0
GmbH,Core Markets,Interco,,Interco,Interco,Rowan,,,0
GmbH,Core Markets,Interco,,Interco,Interco,Solveig Chollet,,,0
GmbH,Core Markets,Interco,,Interco,Interco,Solveig Chollet Neukd,,,0
GmbH,Core Markets,Interco,,Interco,Interco,Y. Januario,,,0
GmbH,Core Markets,Italy,Italy,,Italy,E. Grigoreva,,,0
GmbH,Core Markets,Italy,Italy,,Italy,E. Grigoreva Neukd,,,0
GmbH,Core Markets,Other NL,NL Other,,Benelux - Other,C. da Costa Campos,,,0
GmbH,Core Markets,Other NL,NL Other,,Benelux - Other,C. da Costa Campos Neukd,,,0
GmbH,Core Markets,Spain,Spain,,Montse,M. G. Fernández,,,0
GmbH,Core Markets,Spain,Spain,,Montse,M. G. Fernández Neukd,,,0
GmbH,Core Markets,eCommerce (excl. USA),,eCommerce EU (incl. UK),eCommerce (excl. USA),e-commerce,,,0
UK,UK,Interco,,Interco,Interco,Interco,51202,"DESCOMED GB, London ( PR + Other )",1
UK,UK,Interco,,Interco,Interco,Interco,51206,"DESCOMED GB, London (Personal BlueGem)",1
UK,UK,Interco,,Interco,Interco,Interco,51207,,1
UK,UK,Interco,,Interco,Interco,Interco,51210,Katarzyna Walkowiak; MA Liberty,1
UK,UK,UK,,Interco,Interco,Interco,,BlueGem Capital Partners LLP,0
UK,UK,UK,,Interco,Interco,Interco,,Suzanna Uden,0
UK,UK,UK,,Interco,Interco,Interco,51158,Liberty PR,1
UK,UK,UK,,Spa,,,,Genesta Georgian LLP; Francis Hotel Bath,0
UK,UK,UK,,Global etailers,,,10048,Luisa Via Roma Spa; Italy,1
UK,UK,UK,,Retail ,,,51101,Liberty Retail Ltd,1
UK,UK,UK,,Retail ,,,51172,Harrods (UK) Ltd.,1
UK,UK,UK,,Global etailers,,,51175,The Hut.com Ltd; Poland,1
UK,UK,UK,,Retail ,,,51176,THG Beauty Limited,1
UK,UK,UK,,Global etailers,,,51177,Net-A-Porter; London GB,1
UK,UK,UK,,Global etailers,,,51178,Net-A-Porter; USA,1
UK,UK,UK,,Global etailers,,,51179,Net-A-Porter; Hong Kong,1
UK,UK,UK,,Global etailers,,,51180,Net-A-Porter; Italy,1
UK,UK,UK,,Retail ,,,51183,"John Bell & Croyden, London",1
UK,UK,UK,,Spa ,,,51184,The Connaught Hotel,1
UK,UK,UK,,Spa ,,,51185,Four Seasons Hotel London,1
UK,UK,UK,,Spa ,,,51186,hope street hotel; Liverpool,1
UK,UK,UK,,Spa ,,,51187,Julia Knight; Sale,1
UK,UK,UK,,Spa ,,,51189,RTL Limited; The Grove Hotel,1
UK,UK,UK,,Spa ,,,51191,Louise Godsil; Tranquil Escape,1
UK,UK,UK,,Spa ,,,51192,Rachel Staggs Ltd.,1
UK,UK,UK,,Spa ,,,51193,Mweya PVT Ltd; Dubai,1
UK,UK,UK,,Spa ,,,51194,Artfarm Limited; The Fife Arms Braemar,1
UK,UK,UK,,Spa ,,,51196,CHAPEL BEAUTY,1
UK,UK,UK,,Spa ,,,51197,Sue Davis Ltd.,1
UK,UK,UK,,Spa ,,,53000,IzzyJ Aesthetics,1
UK,UK,UK,,Spa ,,,53008,Saintly Skin;Frederika Van Hagan,1
UK,UK,UK,,Spa ,,,53011,Liliana Fernandes,1
UK,UK,UK,,Retail ,,,53012,Virginie Alvarez,1
UK,UK,UK,,Spa ,,,53014,Oblique house of aesthetics; London,1
UK,UK,UK,,Spa ,,,53015,Hilton Bankside; Ken Tui Management Ltd.; London,1
UK,UK,UK,,Spa ,,,53016,Royal London House; Ken Tui Managem. Ltd,1
UK,UK,UK,,Spa ,,,53017,Piccadilly Town House; Ken Tui Managem. Ltd,1
UK,UK,UK,,Spa ,,,53018,"The Goodwood Hotel, Chichester",1
UK,UK,UK,,Spa ,,,53019,M Alexander London,1
UK,UK,UK,,Spa ,,,53020,Guendalina The Skin Sculpter LTD,1
UK,UK,UK,,Spa ,,,53021,Ayadi Ltd.,1
UK,UK,UK,,eCommerce (excl. USA),,,59100,Shopify UK,1
UK,UK,UK,,eCommerce (excl. USA),,,59200,Shopify ROW,1
US,USA,Central,,Spa,Amy,,25039,Four Seasons Hotel Austin; DTRS Austin LLC,1
US,USA,Central,,Spa,Amy,,25044,The Elms Hotel & Spa; Missouri,1
US,USA,Central,,Spa,Amy,,25050,"Mokara Hotel & Spa, Omni Hotels Management Corp.",1
US,USA,Central,,Spa,Amy,,25056,AMI LLC Bergamos Retreat,1
US,USA,Central,,Spa,Amy,,25068,321 Skin Glow LLC,1
US,USA,Central,,Spa,Amy,,25071,Nerdium LLC; Texas,1
US,USA,Central,,Spa,Amy,,25073,Mario Tricoci Hair Salons & Day Spas,1
US,USA,Central,,Spa,Amy,,25074,"Houstonian Campus, LLC",1
US,USA,Central,,Spa,Melissa,,25057,Waldorf Astoria Spa Chicago,1
US,USA,Interco,,Spa,Interco,,,Bethany Phillips,0
US,USA,Interco,,Spa,Interco,,,Erin Shapiro,0
US,USA,Interco,,Interco,Interco,Interco,25005,"Karen Reddy-Medeiros, Canada",1
US,USA,Interco,,Interco,Interco,Interco,25006,INNOVATIVE PR; Kamie O´Connor,1
US,USA,Interco,,Interco,Interco,Interco,25007,"Melissa Blamey, White Plains",1
US,USA,Interco,,Interco,Interco,Interco,25900,Amy Chasko,1
US,USA,Interco,,Interco,Interco,Interco,25902,Bridget Lonergan,1
US,USA,Interco,,Interco,Interco,Interco,25903,Lisa Perez,1
US,USA,Interco,,Interco,Interco,Interco,25905,Emily Kasprowicz,1
US,USA,Interco,,Interco,Interco,Interco,30687,Asia Cilek; home address,1
US,USA,Interco,,Interco,Interco,Interco,30731,Lisamarie DeLucia; Account Executive,1
US,USA,Interco,,Interco,Interco,Interco,30732,Monica Mosconi; Trainer,1
US,USA,Northeast,,Spa,Marcus,,25001,Four Seasons Hotel Philadelphia; ; El Paso,1
US,USA,Northeast,,Spa,Marcus,,25013,Gurney ´s Inn Resort & Spa LLC; NY,1
US,USA,Northeast,,Spa,Marcus,,25028,Jenny Y Yu; MD FACS PLLC,1
US,USA,Northeast,,Spa,Marcus,,25033,Body Works Day Spa; Stewart Manor,1
US,USA,Northeast,,Spa,Marcus,,25037,Equinox Holdings Inc; Boston,1
US,USA,Northeast,,Spa,Marcus,,25041,Agata Sokolowska; IL,1
US,USA,Northeast,,Spa,Marcus,,25045,"dba Haven Spa, New York",1
US,USA,Northeast,,Spa,Marcus,,25049,Four Seasons Baltimore; MD,1
US,USA,Northeast,,Spa,Marcus,,25061,Equinox Holdings Inc; Washington DC,1
US,USA,Northeast,,Spa,Marcus,,25062,Equinox Holdings Inc; SPA Retail Washington DC,1
US,USA,Northeast,,Spa,Marcus,,25070,Renaissance Hotel Partners LLC,1
US,USA,Other,,Spa,Melissa,,25035,Rosewood Little Dix Bay; Helen Lugo,1
US,USA,Retail,,Retail,Other,,25051,Rennai Royalmount; Canada,1
US,USA,Retail,,Retail,,,25030,Saks.com LLC; NY (Web orders),1
US,USA,Southeast,,Spa,Bethany,,25002,Porto Vita/Villa Grande Club; Fl,1
US,USA,Southeast,,Spa,Bethany,,25003,The resort at Longboat Key CLub; Florida,1
US,USA,Southeast,,Spa,Bethany,,25008,"Stars Skincare Med Spa, Florida",1
US,USA,Southeast,,Spa,Bethany,,25010,"Four Seasons Hotel, Fort Lauderdale; FL",1
US,USA,Southeast,,Spa,Bethany,,25016,"Williams Island POA, Inc. Florida",1
US,USA,Southeast,,Spa,Bethany,,25018,Iridescent LLC; Big-Bang; Miiami; Paula,1
US,USA,Southeast,,Spa,Bethany,,25019,Banyan Cay Res.; W Palm Beach; Melissa,1
US,USA,Southeast,,Spa,Bethany,,25020,Faena Hotel Miami Beach; FL,1
US,USA,Southeast,,Spa,Bethany,,25024,"Mt. Bailey Holdings, LLC; Four Seasons Hotel Atlanta",1
US,USA,Southeast,,Spa,Bethany,,25025,"ARCH Amenity Group, Florida",1
US,USA,Southeast,,Spa,Bethany,,25026,JW Marriott Miami Turnberry,1
US,USA,Southeast,,Spa,Bethany,,25029,Ana Molinari Inc.; FL,1
US,USA,Southeast,,Spa,Bethany,,25040,AMG Investments LLC; Fl,1
US,USA,Southeast,,Spa,Bethany,,25042,Eau Palm Beach Resort & Spa; Fl,1
US,USA,Southeast,,Spa,Bethany,,25043,"Jupiter Island Holdings, Inc.; Fl",1
US,USA,Southeast,,Spa,Bethany,,25047,"Four Seasons Resort Orlando,FL",1
US,USA,Southeast,,Spa,Bethany,,25054,Four Seasons Hotel Nashville; TN,1
US,USA,Southeast,,Spa,Bethany,,25055,USREC Banyan Cay Resort LLC,1
US,USA,Southeast,,Spa,Bethany,,25060,Nashville Hospitality/DBA Westin,1
US,USA,Southeast,,Spa,Bethany,,25063,Equinox Holdings Inc; Miami,1
US,USA,Southeast,,Spa,Bethany,,25069,Simply Bliss SkinCare LLC,1
US,USA,Southeast,,Spa,Bethany,,25075,Wyndham Grand Rio Mar Hotel,1
US,USA,Southeast,,Spa,Bethany,,25076,Costa d' Este Beach Resort & Spa,1
US,USA,USA,,Amazon,Amazon,,41000,Amazon,1
US,USA,USA,,Own eCommerce,Own eCommerce,,40000,eCommerce USA,1
US,USA,West,,Spa,Erin,,25000,West Coast Lifestyles Inc.; CA,1
US,USA,West,,Spa,Erin,,25004,Teton Mountain Lodge,1
US,USA,West,,Spa,Erin,,25009,Glo Rejuvenation; Oregon,1
US,USA,West,,Spa,Erin,,25011,D&G Global Inc.; Claire Gobler; CA,1
US,USA,West,,Spa,Erin,,25012,"Rosewood Sense Spa, CA",1
US,USA,West,,Spa,Erin,,25015,Gateway Canyon Resort & Spa; CO,1
US,USA,West,,Spa,Erin,,25021,TALISKER CLUB; Holly Arndt,1
US,USA,West,,Spa,Erin,,25022,Beating Hearts; Dallas; Lori Feste,1
US,USA,West,,Spa,Erin,,25023,HLP Hotels LLC DBA Lost Pines; Texas,1
US,USA,West,,Spa,Erin,,25027,San Manuel Entert.; Yaamava Resort; Highland,1
US,USA,West,,Spa,Erin,,25032,Four Seasons Hotel Las Vegas,1
US,USA,West,,Spa,Erin,,25034,"Live Love Spa; Tustin, CA",1
