customer_code,customer_name,Customer Map,Active?,door_type,budget_month,budget_amount,sheet_name,workbook_name,workbook_type,header_row,currency_code,market_group,region,sub_region,company_group,Sales person,sales_person,load_ts,Region,Country,2025 Cluster,channel,2026 Cluster,source_section,budget_version,budget_amount_native,fx_rate_to_eur,budget_amount_eur_compare
25001,Four Seasons Hotel Philadelphia; PA,,,,2024-01-01,33680.82,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,A,,A+,,2026.01.22,33680.82,0.9296272194849864,31310.607046574318
25037,Equinox Holdings Inc; Boston,,,,2024-01-01,14341.14,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,B,,C,,2026.01.22,14341.14,0.9296272194849864,13331.914102444916
25045,dba Haven Spa,,,,2024-01-01,27105.03,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD24,,C,,2026.01.22,27105.03,0.9296272194849864,25197.57367295714
25049,Four Seasons Baltimore; MD,,,,2024-01-01,15753.72,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD24,,A+,,2026.01.22,15753.72,0.9296272194849864,14645.086920145019
25061,Equinox Holdings Inc; Washington DC,,,,2024-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,C,,2026.01.22,0.0,0.9296272194849864,0.0
25062,Equinox Holdings Inc; SPA Retail Washington DC,,,,2024-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,C,,2026.01.22,0.0,0.9296272194849864,0.0
25070,Renaissance Hotel Partners LLC,,,,2024-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,A++,,2026.01.22,0.0,0.9296272194849864,0.0
-25,New doors 2025,,,new_2025,2024-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,,,2026.01.22,0.0,0.9296272194849864,0.0
-26,New doors 2026,,8.0,new_2026,2024-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD26,,NKD26,,2026.01.22,0.0,0.9296272194849864,0.0
25001,Four Seasons Hotel Philadelphia; PA,,,,2026-01-01,2400.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,A,,A+,,2026.01.22,2400.0,0.9296272194849864,2231.1053267639672
25037,Equinox Holdings Inc; Boston,,,,2026-01-01,480.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,B,,C,,2026.01.22,480.0,0.9296272194849864,446.22106535279346
25045,dba Haven Spa,,,,2026-01-01,480.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD24,,C,,2026.01.22,480.0,0.9296272194849864,446.22106535279346
25049,Four Seasons Baltimore; MD,,,,2026-01-01,1600.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD24,,A+,,2026.01.22,1600.0,0.9296272194849864,1487.4035511759782
25061,Equinox Holdings Inc; Washington DC,,,,2026-01-01,560.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,C,,2026.01.22,560.0,0.9296272194849864,520.5912429115924
25062,Equinox Holdings Inc; SPA Retail Washington DC,,,,2026-01-01,400.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,C,,2026.01.22,400.0,0.9296272194849864,371.85088779399456
25070,Renaissance Hotel Partners LLC,,,,2026-01-01,2000.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,A++,,2026.01.22,2000.0,0.9296272194849864,1859.2544389699729
-25,New doors 2025,,,new_2025,2026-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,,,2026.01.22,0.0,0.9296272194849864,0.0
-26,New doors 2026,,8.0,new_2026,2026-01-01,0.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD26,,NKD26,,2026.01.22,0.0,0.9296272194849864,0.0
25001,Four Seasons Hotel Philadelphia; PA,,,,2026-02-01,2400.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,A,,A+,,2026.01.22,2400.0,0.9296272194849864,2231.1053267639672
25037,Equinox Holdings Inc; Boston,,,,2026-02-01,480.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,B,,C,,2026.01.22,480.0,0.9296272194849864,446.22106535279346
25045,dba Haven Spa,,,,2026-02-01,480.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD24,,C,,2026.01.22,480.0,0.9296272194849864,446.22106535279346
25049,Four Seasons Baltimore; MD,,,,2026-02-01,1600.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD24,,A+,,2026.01.22,1600.0,0.9296272194849864,1487.4035511759782
25061,Equinox Holdings Inc; Washington DC,,,,2026-02-01,560.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,C,,2026.01.22,560.0,0.9296272194849864,520.5912429115924
25062,Equinox Holdings Inc; SPA Retail Washington DC,,,,2026-02-01,400.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,C,,2026.01.22,400.0,0.9296272194849864,371.85088779399456
25070,Renaissance Hotel Partners LLC,,,,2026-02-01,2000.0,Northeast,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget,2,USD,USA,Northeast,Northeast,Company 1,Marcus,Marcus,2026-03-26T10:51:15+00:00,Northeast,,NKD25,,A++,,2026.01.22,2000.0,0.9296272194849864,1859.2544389699729
