sheet_name,source_file_name,header_row,row_number,nan,25a,25b,25f_vs_25b,24a,25f_vs_24a,nan_2,26b,25a_2,26b_vs_25f,nan_3,nan_4,20260101_000000,20260201_000000,20260301_000000,20260401_000000,20260501_000000,20260601_000000,20260701_000000,20260801_000000,20260901_000000,20261001_000000,20261101_000000,20261201_000000,existing_doors,new_doors,20260101_000000_2,20260201_000000_2,20260301_000000_2,20260401_000000_2,20260501_000000_2,20260601_000000_2,20260701_000000_2,20260801_000000_2,20260901_000000_2,20261001_000000_2,20261101_000000_2,20261201_000000_2,20260101_000000_3,20260201_000000_3,20260301_000000_3,20260401_000000_3,20260501_000000_3,20260601_000000_3,20260701_000000_3,20260801_000000_3,20260901_000000_3,20261001_000000_3,20261101_000000_3,20261201_000000_3,cluster,definition,customer_code,customer_name,region,sales_person,new_door_year,active,2025_cluster,2026_cluster,2025a,2026b,size_indicator,customer_growth_class,2024_ytd,2025_ytd,2025b_ytd,25_vs_24,25_vs_25b,2022,2023,2024,2025b,2025a_2,2026b_2,25_vs_24_2,25_vs_25b_2,26b_vs_25a,nan_5,nan_6,nan_7,nan_8,nan_9,nan_10,nan_11,2025f,customer_no,20220,20230,20240,20250,25_vs_23,25_vs_22,25_vs_22_cagr,25_vs_24_sales,25_vs_23_sales,25_vs_22_sales,25_vs_25b_sales,2025b_2,25_vs_23_2,25_vs_22_2,25_vs_22_cagr_2,25_vs_24_sales_2,25_vs_23_sales_2,25_vs_22_sales_2,25_vs_25b_sales_2,new_door_mmmyy,lost_door_year,lost_door_mmmyy,active_end_2021,active_end_2022,active_end_2023,active_2024,active_2025,growth,col_01,new_door_month,new_door_month_code,annual_total,20220101_000000,20220201_000000,20220301_000000,20220401_000000,20220501_000000,20220601_000000,20220701_000000,20220801_000000,20220901_000000,20221001_000000,20221101_000000,20221201_000000,20220101_000000_2,20220201_000000_2,20220301_000000_2,20220401_000000_2,20220501_000000_2,20220601_000000_2,20220701_000000_2,20220801_000000_2,20220901_000000_2,20221001_000000_2,20221101_000000_2,20221201_000000_2,20230101_000000,20230201_000000,20230301_000000,20230401_000000,20230501_000000,20230601_000000,20230701_000000,20230801_000000,20230901_000000,20231001_000000,20231101_000000,20231201_000000,20230101_000000_2,20230201_000000_2,20230301_000000_2,20230401_000000_2,20230501_000000_2,20230601_000000_2,20230701_000000_2,20230801_000000_2,20230901_000000_2,20231001_000000_2,20231101_000000_2,20231201_000000_2,20240101_000000,20240201_000000,20240301_000000,20240401_000000,20240501_000000,20240601_000000,20240701_000000,20240801_000000,20240901_000000,20241001_000000,20241101_000000,20241201_000000,20240101_000000_2,20240201_000000_2,20240301_000000_2,20240401_000000_2,20240501_000000_2,20240601_000000_2,20240701_000000_2,20240801_000000_2,20240901_000000_2,20241001_000000_2,20241101_000000_2,20241201_000000_2,20250101_000000,20250201_000000,20250301_000000,20250401_000000,20250501_000000,20250601_000000,20250701_000000,20250801_000000,20250901_000000,20251001_000000,20251101_000000,20251201_000000,20250101_000000_2,20250201_000000_2,20250301_000000_2,20250401_000000_2,20250501_000000_2,20250601_000000_2,20250701_000000_2,20250801_000000_2,20250901_000000_2,20251001_000000_2,20251101_000000_2,20251201_000000_2,salesperson,new_customer_year,new_customer_mmmyy,25b_vs_24a,yes,grow,extract_type,load_ts
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,14,West,377000,100000,77000,200000,10000,3850,10000,23850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,15,Southeast,272000,100000,23000,149000,10000,1150,7450,18600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,16,Other,90000,0,20000,70000,0,1000,3500,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,17,US Spa,1224000,400000,223000,601000,40000,11150,30050,81200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,18,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,19,USD,Full Year,,,,,,,,,Full Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,20,,25F,25B,25F vs 25B,24A,25F vs 24A,25B,25A vs 25B,24A,25A vs 24A,26B,25F,26B vs 25F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,21,Northeast,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,22,Central,0,10000,-1,5494,-1,10000,,5494,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
Summary,20260324T164535Z_2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,3,23,West,0,0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_budget_v2_full_workbook_rows,2026-03-24T16:45:36+00:00
